given_name,family_name,date_of_birth,place_of_birth
Nichola,Franklin,1974-12-22,Barrhead
Violet,Jones,1914-11-14,Aberdeen
Arthur,Pearce,1905-10-11,Anstruther
Arthur,Kent,1887-10-31,Stranraer
Neil,Smith,1972-11-07,Lanark
Mary,Cook,1842-03-07,Lisburn
Helen,Hackett,1904-12-09,Huntly
Harry,Thorpe,1857-11-24,Stranraer
Pavolo,Veneziale,1964-09-12,Ardrossan
Henry,Pidgeon,1887-09-27,Wishaw
George,Nokes,1857-02-17,Campbeltown
Jürgen,Youngjohns,1934-04-27,Brechin
Dennis,Fitzgerald,1959-10-06,Wishaw
Elias,Tonge,1840-12-19,Larne
Sophia,Pickering,1844-03-13,Dingwall
John,Rooks,1904-10-27,Dundee
Henry,Brandwood,1911-06-05,Dundee
Sarah,Charles,1890-12-12,Dromore
Hilda,Hart,1897-08-03,Lanark
Alice,Tracey,1869-12-28,Dumbarton
Lorraine,Sines,1979-09-28,Armagh
Deborah,Wilkinson,1969-02-11,Kirkwall
George,Dawn,1855-04-17,Clydebank
Caroline,Granger,1866-05-02,Bridge of Allan
Maureen,Kirk,1938-03-05,Hawick
George,Batting,1838-10-02,Lanark
Ira,Bell,1877-12-19,Cookstown
Mary,Corley,1920-03-28,Bangor
David,Edwards,1883-02-21,Downpatrick
Ann,Wells,1863-10-29,Lanark
Margaret,Hagan,1870-02-27,Bangor
Mary,Chandley,1886-07-27,Nairn
Catherine,Douglass,1881-11-10,Galashiels
Adelia,Raine,1922-12-24,Fraserburgh
Frederick,Ward,1867-11-23,Dingwall
John,Tune,1945-10-14,Bridge of Allan
Mary,Ball,1941-10-24,Anstruther
Fred,Walker,1853-03-30,Haddington
Ada,Hunt,1904-03-18,Clydebank
Maureen,Lewis,1949-05-09,Jedburgh
John,Thompson,1861-08-13,Blairgowrie
Mary,Crofts,1883-08-30,Cupar
Pamala,Turner,1894-10-22,Kirkintilloch
Jeanne,Bush,1926-11-10,Haddington
Allan,Williams,1977-02-25,Hamilton
Joseph,Barnes,1855-10-09,Strabane
Edith,Gill,1898-05-01,Ardrossan
Patricia,Brown,1942-08-29,Forres
Stephen,Holt,1958-09-02,Coatbridge
Doris,Hill,1904-06-21,Lurgan
Stephen,Brennan,1944-09-05,Galashiels
Ethel,Slaughter,1916-11-04,Rothesay
Susanna,Barren,1839-10-18,West Calder
Irene,Williscroft,1955-05-11,Downpatrick
Frank,Higginson,1903-05-17,Bangor
Beatrice,Coombes,1892-10-14,Keith
Septimus,Wilson,1862-11-25,Ayr
Clara,Barker,1885-04-25,Londonderry
Jody,Till,1982-11-30,Downpatrick
Robert,Smith,1977-04-03,Ayr
Herbert,Harvey,1906-10-30,Ardrossan
Lucy,Tee,1889-07-05,Stonehaven
Jonathan,Groves,1959-09-03,Crieff
Kerry,Winters,1967-06-18,Carrickfergus
Jennifer,Auger,1958-10-12,Coatbridge
Esther,Richter,1907-12-27,Blairgowrie
Charles,Webb,1923-12-22,Lisburn
Pauleth,Pipe,1962-11-18,West Calder
Joseph,Francis,1917-06-04,Cookstown
Simon,Ricketts,1969-10-18,Lerwick
Timothy,Oakes,1982-09-09,Wick
Diana,Pender,1959-08-02,Barrhead
Amanda,Wright,1968-03-16,Lerwick
Walter,Cohoon,1912-09-27,Inverness
Alice,Busby,1845-02-16,Jedburgh
Margaret,Norris,1938-10-28,Bridge of Allan
Pauline,Kippax,1958-04-19,Bangor
Ellen,Sweeny,1852-01-16,Forfar
Michael,Bromley,1859-11-18,Helensburgh
Harold,Gee,1925-11-27,Selkirk
Alice,Davies,1913-02-24,Montrose
Thomas,Greenwood,1867-02-10,Kelso
Steven,Fisher,1971-08-11,Lanark
Harriet,Burton,1851-08-29,Glasgow
Jane,Turner,1853-11-23,Hamilton
Elizabeth,Mcelroy,1868-02-08,West Calder
Fanny,Woolley,1886-06-20,Anstruther
Beverly,Howells,1979-04-30,Crieff
Emily,Davies,1916-08-24,Enniskillen
Joan,Whiteing,1920-08-13,Aberdeen
Henry,Embury,1906-12-04,Forres
Olivia,Mudie,1976-10-09,Larne
Ronald,Davis,1913-12-09,Port Glasgow
Pauline,Smith,1965-03-07,Lerwick
Edgar,Fawn,1858-10-02,Strabane
Charles,Lisle,1842-08-10,Dalkeith
Sarah,Sharp,1858-07-05,Bridge of Allan
Elizabeth,Humphries,1858-07-13,Rothesay
Margaret,Carrick,1879-11-14,Paisley
Ellen,Read,1872-01-26,Armagh
Paul,Capel,1979-10-06,Nairn
Denis,French,1922-05-12,Edinburgh
Elizabeth,Hassall,1850-07-15,Banbridge
Mark,Riordan,1961-10-11,Kilmarnock
Bertie,Garrett,1899-03-26,Barrhead
Richard,Jones,1854-10-23,Dingwall
Lois,Thomas,1914-12-05,Bridge of Allan
Ann,Hebbard,1860-09-21,Elgin
Betty,Nichols,1949-06-11,Golspie
John,Myhill,1879-03-21,Hawick
Arthur,Curd,1879-01-24,Londonderry
Rachel,Boski,1888-01-07,Ayr
Stella,Morris,1917-02-19,Dufftown
Caroline,Mcmurray,1967-06-25,Paisley
Denise,Brooks,1960-11-08,Lanark
Mary,Beaglehole,1857-02-10,Inverness
Edna,Downing,1910-01-20,Lockerbie
Sarah,Hall,1873-07-15,Glasgow
June,Ballard,1938-07-25,Leven
Sibyl,Jeffs,1919-03-30,Alloa
Steven,Laws,1971-11-17,Greenock
Wendy,Kay,1975-09-29,Armagh
Nigel,Lindores,1948-08-10,Bridge of Allan
Wilfred,Hulin,1902-03-18,Golspie
Alice,Moore,1885-08-05,Londonderry
William,Corcoran,1881-05-05,Bangor
Beatrice,Foster,1897-10-19,Nairn
Sharon,Wilson,1961-01-17,Newry
Michael,Beddow,1968-05-23,Kilmarnock
George,Marshall,1918-06-13,Strabane
Jesús,Spence,1912-05-15,Banff
Fanny,Scandrett,1843-11-23,Haddington
Leonard,Ebbins,1893-08-15,Helensburgh
东,Baker,1872-02-24,Paisley
Margaret,Dummer,1851-07-27,Ballymena
Alan,Jervis,1957-09-18,Langholm
Richard,Holloway,1856-09-08,Port Glasgow
Eva,Joël,1881-01-23,Glasgow
Jane,Pickup,1844-07-28,Dalkeith
Anne,Morgan,1842-07-19,Lerwick
Blodwen,Lewis,1895-07-14,Kilsyth
Lydia,Bruns,1916-06-12,Cupar
Henry,Hubble,1921-05-29,Belfast
Annie,Hagan,1889-06-23,Inverness
Brian,Collins,1964-05-14,Musselburgh
Sidney,Goatly,1910-10-27,Bathgate
Vanessa,Goodridge,1957-01-08,Galashiels
Matthew,Pope,1972-09-21,Dundee
Robert,Hall,1873-05-18,Invergordon
Stanley,Snelson,1903-10-08,Lockerbie
Dorothy,Sidey,1893-07-22,Castle Douglas
Ernest,King,1888-10-15,Brechin
Catharine,Wilson,1839-08-23,Cookstown
Henry,Hall,1859-06-09,Bridge of Allan
João,Lead,1850-08-09,Ballymena
Bernard,Coleman,1921-07-21,St Andrews
Ronald,Gardner,1930-06-07,Selkirk
Charles,Blenkin,1873-12-02,Campbeltown
Dale,Foster,1979-01-09,Peebles
Pauline,Davidson,1951-10-13,Kilsyth
Mary,Laidler,1884-05-21,Dungannon
Doris,Hannaford,1911-12-02,Irvine
Laura,Waters,1861-09-01,Dingwall
Arthur,Martin,1895-01-03,Ballymena
Bertha,Dougherty,1885-08-26,Dromore
George,Hawkins,1877-01-05,Newton Stewart
Maria,Nevin,1838-11-06,Golspie
Muriel,Beebee,1938-07-18,Belfast
Bruce,Ashton,1918-11-02,Golspie
William,Cody,1865-05-01,St Andrews
Nancy,Kelly,1916-12-24,Golspie
Sharon,Margetson,1975-11-24,Leven
Henry,Morley,1876-01-13,Portadown
Betsy,Corker,1865-05-15,Ardrossan
Elsie,Pearson,1912-05-28,Musselburgh
Sarah,Paley,1846-08-24,Downpatrick
George,Easty,1840-09-24,Milngavie
Arthur,Moore,1887-10-23,Forres
Christiana,Musgrove,1903-02-12,Wishaw
Francis,Lewis,1909-01-06,Rothesay
Kate,Goodall,1878-04-30,Airdrie
Alan,Howell,1947-08-14,Stirling
Nancy,Sutton,1858-04-15,Stonehaven
Ann,Dunn,1841-07-01,Portsoy
Donald,Lofts,1933-10-01,Buckie
Esther,Best,1841-04-30,Portadown
Lydia,Hitchman,1866-04-04,Londonderry
Lillian,Glover,1924-10-21,Dalkeith
Ada,Bawden,1878-02-06,Ballymoney
Arah,Bingley,1841-03-26,St Andrews
William,Roper,1924-06-24,St Andrews
William,Parry,1901-09-01,Clydebank
Elizabeth,Brindley,1878-02-09,Thurso
Grace,Pearson,1906-03-25,Larne
Elizabeth,Baxter,1904-02-20,Ayr
Sarah,Balcwin,1864-04-22,Lurgan
Sandra,Simpson,1953-01-07,Dumbarton
Henry,Munday,1895-11-15,Peterhead
Male,Hall,1841-11-24,Campbeltown
Ashley,Martin,1982-07-09,Perth
Reuben,Aveyard,1942-08-26,Lisburn
Margaret,Hodge,1952-05-12,Peebles
Azra,Choudhry,1981-09-07,Falkirk
Walter,Parkinson,1918-05-03,Lurgan
Joseph,Colvin,1960-02-17,Dromore
Brett,Jackson,1974-08-29,Paisley
Gerard,Hartley,1949-11-11,Peterhead
Patricia,Crooks,1949-01-27,Greenock
Matthew,Gould,1976-09-16,Kilmarnock
Lesley,Karley,1953-01-22,Dungannon
Raymond,Mcdonald,1897-08-13,Bridge of Allan
Henry,Croasdale,1895-06-10,Stranraer
Doreen,Dewberry,1938-03-12,Airdrie
Gregor,Smith,1966-06-03,Peebles
Mary,Matsell,1858-10-12,Ballymoney
Geoffrey,Reay,1961-04-12,Peterhead
Tracy,Townsend,1983-03-22,Clydebank
Mark,Derry,1978-02-15,Langholm
Carol,Stewart,1959-09-28,Kilsyth
Dorothy,Litchfield,1897-02-21,Haddington
Hilary,Stone,1947-12-23,Dalkeith
Arthur,West,1919-01-24,Newry
Anthony,Ali,1967-04-07,Dalbeattie
Walter,Rolfe,1870-05-28,Brechin
Albert,Kidwell,1871-09-04,Linlithgow
Alec,Jukes,1901-02-05,Portadown
Ernest,Miller,1876-12-12,Barrhead
Christopher,Norcup,1982-07-06,Blairgowrie
Elizabeth,Evans,1843-05-23,Ardrossan
Alice,Jeffries,1867-02-21,Dufftown
Henrietta,Martin,1863-07-20,Dungannon
Herbert,Jones,1844-11-24,Airdrie
William,Perry,1869-02-18,Bridge of Allan
Constance,Breeze,1909-02-02,Greenock
Jesse,Memmory,1907-09-16,Nairn
John,Reeve,1890-09-21,Dalry
Alfred,Dye,1908-04-13,Oban
Elsie,Parker,1912-03-30,Leven
Norman,Stonely,1917-04-05,Kilsyth
Margaret,Ryan,1921-07-03,Ballymoney
John,Barkwith,1860-11-18,Langholm
Edith,Bowditch,1889-04-10,Stornoway
John,Rylett,1868-01-06,Bridge of Allan
John,Pawson,1966-12-25,Forfar
James,Potts,1921-08-18,Kelso
Jesus,Estebanez,1918-06-14,Ardrossan
Alan,Fletcher,1930-03-22,Brechin
Roy,Griffiths,1925-04-02,Ballymoney
Jack,Archibald,1893-05-05,Barrhead
Martha,Lawton,1878-09-21,Haddington
John,Dixon,1914-03-22,Buckie
John,Christmas,1945-11-16,Jedburgh
Martha,Preston,1914-06-20,Bathgate
Michael,Lever,1949-10-05,Anstruther
Grace,Hesketh,1882-07-31,Irvine
Joanne,Crossley,1966-06-11,Kinross
Shirley,Buck,1934-07-24,Cookstown
Reginald,Gray,1916-09-18,Anstruther
Jane,Taylor,1872-09-26,Montrose
Margaret,Prichard,1851-07-03,Portadown
Edwin,Birchenough,1860-09-21,Banff
Evelyn,Watsham,1914-08-17,Tillicoultry
Michelle,Mcweeney,1970-03-25,Motherwell
George,Lumley,1918-12-13,Dalbeattie
Martin,Kaminski,1949-09-26,Leven
Elizabeth,Short,1916-06-05,Keith
Amy,Gibbons,1897-01-20,Stirling
Constance,Jessop,1921-03-03,Castle Douglas
Lorna,Morris,1965-04-02,Larne
Kenneth,Ward,1914-09-07,Stranraer
Derek,Vane,1929-11-21,Falkirk
Edna,Jenkins,1928-10-13,Downpatrick
Ezra,Nightingale,1859-09-02,Brechin
Emily,Thornton,1858-09-07,Irvine
Harold,Scarfe,1927-01-30,Fraserburgh
Kathleen,Anderson,1915-03-27,Musselburgh
Elizabeth,Westlake,1897-07-22,Ballymoney
Jennifer,Crampsie,1975-06-08,Forres
Robert,Mckenzie,1965-01-23,Wick
Arthur,Mcleod,1922-01-04,Bathgate
Laurence,Briggs,1892-01-18,Jedburgh
Leonard,Kerr,1931-06-26,Bridge of Allan
Edward,Kiernan,1921-04-12,Newtownards
Dawn,Dyson,1960-11-16,Dungannon
Carol,Lane,1940-11-07,Kirkwall
Wayne,Collins,1979-10-18,Armagh
Nicholas,Southwell,1960-01-20,Stonehaven
Florence,Hunt,1897-09-27,Portadown
Edward,Hughes,1881-10-17,Downpatrick
Edith,Young,1888-08-22,Newton Stewart
Carrie,Cartwright,1892-02-10,Greenock
Charlotte,Cooke,1841-03-03,Glasgow
Jennie,Gilbert,1914-08-10,Lerwick
Kelvin,Lucking,1974-08-17,Irvine
Kevitt,Moore,1914-05-20,Keith
Annie,Feary,1889-02-17,Ballymoney
Arthur,Bridges,1906-06-30,Wick
Hannah,Reynolds,1849-10-15,Nairn
Gary,Watson,1971-01-20,Stirling
Emily,Crews,1885-05-09,Oban
Catherine,Moylan,1953-10-02,Dumbarton
Stephen,Thomas,1963-07-03,Ayr
Grace,Bird,1899-07-04,Castle Douglas
Elizabeth,Guest,1896-08-10,Lerwick
Edward,Davies,1874-04-26,Clydebank
Charles,Claridge,1875-08-05,Aberdeen
Paul,Allen,1959-06-18,Newry
Henry,Hembury,1884-11-07,Rothesay
Rose,Grosvenor,1904-10-19,Selkirk
Andrew,Shaw,1975-04-01,Linlithgow
Edward,Mulligan,1953-04-27,Enniskillen
James,Grubb,1939-09-18,Annan
Emma,Stoneman,1902-10-19,Bridge of Allan
Laura,Coote,1866-09-12,Downpatrick
Ann,Tomkinson,1842-09-15,Dunfermline
Allen,Cemm,1867-08-14,Dalkeith
James,Denman,1853-05-19,Airdrie
Henry,Head,1938-11-10,Campbeltown
Norman,Rowley,1924-09-12,Wick
Colin,Jewitt,1956-02-12,Belfast
John,Carey,1904-04-08,Linlithgow
Violet,Gray,1911-12-24,Brechin
Peter,Forshaw,1938-09-21,Helensburgh
James,Forshaw,1890-07-11,Dromore
Jeffery,Ostrove,1954-08-12,Inverness
Teresa,Reavill,1964-11-29,Clydebank
Charles,Gear,1901-06-12,Londonderry
Oliver,Jones,1863-03-17,Bangor
William,Bradley,1855-12-21,Lerwick
James,Jubb,1973-02-28,Wick
Elsie,Binns,1934-06-25,Helensburgh
Henrietta,Noble,1866-11-15,Port Glasgow
William,Waite,1863-09-02,Banff
John,Simpson,1955-09-29,Alloa
Jane,Matthews,1972-10-30,Port Glasgow
Eric,Gair,1928-07-17,Glasgow
Fay,Thomas,1979-04-21,Perth
Kim,Jones,1967-04-28,Campbeltown
Alice,Vincent,1901-08-10,Portadown
Llewellyn,Williams,1896-02-22,Aberdeen
Joseph,Finn,1933-02-17,Ballymoney
Amy,Lord,1861-03-07,Kilmarnock
Charles,Parker,1839-05-31,Rothesay
Stuart,Fraser,1964-05-10,Cupar
Tracey,Morrill,1977-01-04,Carluke
Eliza,Burrows,1875-11-02,Carrickfergus
George,Aylward,1924-09-07,Greenock
Walter,Smith,1906-05-02,Perth
Mary,Hopkins,1945-08-08,Anstruther
Kerri,Mccarthy,1981-10-09,Dalkeith
John,Mckough,1887-07-03,Cookstown
Lean,Clark,1978-07-20,Invergordon
George,Balfour,1918-12-30,Wishaw
Reginald,O'brien,1914-09-01,Hamilton
Edmund,Kavanagh,1938-11-11,Anstruther
Linda,Beard,1961-05-20,Leven
Ernest,Ruddlesdin,1901-02-09,Kelso
Elizabeth,Ackroyd,1850-09-24,Dufftown
Jenny,Colborn,1972-10-08,Bridge of Allan
Edward,Matthews,1870-07-15,Kilmarnock
Daniel,Hartigan,1976-12-20,Kilsyth
John,Peppiatt,1864-05-31,Newry
Steven,Gorin,1967-03-11,Larne
Mark,Aylett,1978-01-04,Belfast
Barabara,Briggs,1916-10-07,Elgin
Sean,Collier,1971-03-30,Dumbarton
Clara,Thorpe,1869-10-19,Ayr
Eric,Robinson,1907-11-23,Falkirk
Major,Homer,1905-12-14,Coatbridge
Robert,Walker,1881-01-03,Stirling
Jason,Hall,1976-12-12,Kirkintilloch
Maureen,Shutt,1964-11-26,Irvine
Robert,Watson,1843-11-24,Nairn
Isaiah,Jones,1907-09-04,Kirriemuir
Michael,Mangan,1922-12-06,Clydebank
Male,Scott,1873-03-02,Montrose
Stanley,Sutherland,1925-01-27,Larne
Sarah,Whittaker,1874-06-10,Cookstown
Patrick,Walsh,1936-01-08,West Calder
Mary,Eastham,1860-05-15,Ballymoney
Maria,Vinton,1845-01-28,Elgin
Jean,Taylor,1929-12-02,Enniskillen
Beatrice,Fowler,1874-07-31,Galashiels
Herbert,Clark,1901-12-31,Cupar
Emma,Hannant,1866-11-19,Port Glasgow
Robin,Adams,1962-11-22,Keith
Edith,Dunnett,1903-10-10,Helensburgh
Faith,Foster,1885-07-06,Strabane
William,Daniel,1874-06-29,Peebles
Sarah,Garnett,1884-07-27,Thurso
William,Weddell,1844-11-07,Leven
Ann,Robinson,1942-12-23,Armagh
Stanley,Forrester,1925-07-09,Cupar
John,Jones,1844-11-09,Jedburgh
Thomas,Johnson,1886-04-05,Londonderry
Emily,James,1869-10-08,Fraserburgh
Susan,Lamb,1954-10-27,Dalbeattie
John,Wall,1965-10-23,Lurgan
John,Povey,1918-11-20,Buckie
Eliza,Millard,1850-11-07,Brechin
Margaret,Sedgley,1941-11-24,Bridge of Allan
Beatrice,Bellamy,1878-09-13,Port Glasgow
Cornelius,Cowhey,1894-01-28,Haddington
Cyril,Hatton,1917-11-23,Blairgowrie
John,Howgate,1915-03-21,Bridge of Allan
William,Hadley,1848-08-23,Dumbarton
James,Bird,1900-08-11,Helensburgh
Sylvia,Payne,1941-08-10,Dumfries
Jeanette,Ayres,1980-07-27,Armagh
Ivor,Wake,1914-04-25,Linlithgow
Annie,Isaacs,1904-12-08,Forfar
Albert,Course,1876-11-22,Ballymena
David,White,1961-10-23,Peebles
Peter,Brownhill,1951-04-01,Aberdeen
Alfred,Dix,1850-05-11,Hawick
Anne,Banks,1933-02-16,Dingwall
Michael,Hoyle,1957-11-19,Newry
Frederick,Smith,1893-06-10,Newtownards
Stephen,Mann,1948-06-05,Castle Douglas
Grace,Millachip,1891-12-17,Coatbridge
Elizabeth,Mcfadden,1965-10-11,Barrhead
Gladys,Yeats,1914-03-24,Kelso
Martha,Rhodes,1883-05-05,Coleraine
Lizzie,Ody,1898-08-15,Lanark
Robert,Hogan,1943-12-31,Helensburgh
Male,Pole,1883-02-15,Elgin
Frederick,Thornhill,1897-03-29,Grantown-on-Spey
David,Cross,1966-03-26,Kirriemuir
David,Arnold,1956-06-23,Kilmarnock
John,Bird,1865-01-26,Dundee
David,Kern,1977-08-12,Paisley
Alfred,Head,1886-09-22,Helensburgh
Kate,Cooke,1865-04-19,Fraserburgh
Margaret,Rees,1924-05-09,Dufftown
Frank,Nicholls,1919-12-09,Buckie
Robert,Bell,1869-12-06,Enniskillen
Rachel,Heyworth,1838-07-20,Stonehaven
William,Peck,1918-11-21,St Andrews
Nigel,Wilkins,1954-05-04,West Calder
Laurence,Robinson,1960-05-08,Banff
Christopher,Stammers,1865-07-18,Thurso
Keith,Blandford,1963-02-17,Invergordon
Thomas,Ackroyd,1877-09-25,Wishaw
Ivan,Pearce,1921-08-17,Wick
Albert,Ashcraft,1874-01-28,Newtownards
Leslie,Edmonds,1897-06-08,Larne
Andrew,Warwick,1977-02-28,Dundee
William,Beacroft,1910-01-05,Ardrossan
Kerri,Taylor,1981-03-17,Langholm
Yvonne,Hiles,1963-03-07,Stirling
Elsie,Taylor,1916-10-21,Perth
Roland,Greatbatch,1890-07-25,Langholm
Samuel,Balmforth,1875-01-17,Peebles
Christopher,Webb,1941-11-29,Newry
George,Honeysett,1865-07-30,Huntly
James,Searl,1855-10-20,Dalbeattie
Eliza,Street,1862-04-04,Golspie
Ellen,Burroughs,1876-09-16,Falkirk
Rose,Burton,1882-04-18,Jedburgh
John,Keningale,1883-08-24,Bathgate
Doreen,Coleman,1916-07-10,Rothesay
Fred,Laxton,1860-01-11,Invergordon
Mary,Blezard,1858-02-17,Buckie
William,Hidden,1875-04-17,Kelso
Keith,Curry,1968-09-30,Downpatrick
Julia,Tanner,1959-10-29,Keith
David,Copperwheat,1939-11-16,Haddington
Christina,Robinson,1979-09-06,Stonehaven
Sarah,Grimsdell,1875-11-29,Tillicoultry
Maren,Muggeridge,1949-04-08,Ardrossan
Deborah,Williams,1960-07-09,Thurso
Andrew,Quarrie,1954-05-17,Lockerbie
Dorothy,Culley,1890-11-23,Lisburn
Harry,Giles,1952-08-10,Dumbarton
Bernice,Thorne,1907-07-24,Montrose
Ivy,Chivers,1909-06-14,Banbridge
Joy,Aldous,1955-02-19,Nairn
Margaret,Jones,1842-06-06,Kirkcaldy
Lagay,Frost,1878-03-14,Helensburgh
Edith,Allinson,1891-03-18,Downpatrick
Richard,Wood,1871-11-27,Inverness
Emma,Lumb,1906-02-15,Golspie
Ada,Lee,1874-02-14,Carluke
Sarah,Moore,1859-04-21,Coleraine
Mary,Davies,1876-11-05,Ardrossan
Mary,Brown,1854-12-09,Kirriemuir
Thomas,Ellis,1893-12-03,Downpatrick
Thamer,Barber,1842-03-19,Omagh
Alice,Stone,1879-08-11,Belfast
Eileen,Tinsley,1942-01-14,Oban
Mary,Anderson,1877-06-22,Stornoway
James,Mcvey,1869-12-24,Stirling
Susan,Warner,1973-07-27,Ayr
Alec,Mitchell,1924-03-15,Haddington
John,Skerritt,1893-07-05,Milngavie
Charlotte,Rowley,1860-10-20,Invergordon
Antony,Kyffin,1963-05-14,Dufftown
Rosetta,Powell,1840-04-27,Elgin
Henry,Ford,1862-09-22,Strabane
Pauline,Brandon,1963-04-21,Annan
Charles,Wardle,1889-06-16,Bangor
Leslie,Beard,1928-11-03,Bridge of Allan
Sarah,Knott,1872-02-29,Ardrossan
Robert,Ward,1871-11-01,Portadown
Alan,Neath,1962-05-03,Elgin
George,Scoffield,1870-11-01,Banbridge
Margaret,Brain,1952-05-09,Coleraine
Stanley,Gregg,1914-08-22,Belfast
Clara,Day,1881-05-15,Fraserburgh
George,Croucher,1893-12-20,Helensburgh
Thomas,Troughton,1843-01-13,Kilsyth
Rachel,Thomas,1887-04-15,Bathgate
Richard,Barnes,1958-02-12,Oban
George,Walaron,1882-06-27,Aberdeen
Martin,Fordham,1975-08-10,Selkirk
William,Reynolds,1868-09-25,Campbeltown
Doris,Hamilton,1924-12-23,Wishaw
Gavin,Bull,1979-10-18,Haddington
George,Fullwell,1869-04-08,Alloa
Henry,Bailey,1855-12-13,Huntly
Harold,Holmes,1900-06-06,Strabane
Joan,Stone,1918-04-06,Hawick
Stephen,Cass,1956-08-27,Nairn
Jane,Watson,1886-02-27,Kelso
John,Beechner,1858-12-30,Selkirk
Maud,Kirby,1891-05-08,Omagh
Teresa,Randall,1971-08-16,Invergordon
John,Power,1935-12-31,Perth
Brenda,Cooke,1950-02-23,Arbroath
Frederick,Hughes,1863-06-12,Wishaw
Joseph,Pilsbury,1890-05-21,Stonehaven
Jacqueline,Chadd,1943-07-28,Newtownards
Caroline,Smith,1842-09-06,Kirkcaldy
Hilda,Bone,1918-04-02,Ardrossan
Martha,Beeston,1855-08-13,West Calder
Alice,Bull,1878-02-11,Selkirk
Margaret,Parry,1963-04-05,Nairn
David,Ralph,1961-10-20,Kelso
Kevin,Morrison,1977-03-02,Wick
Paul,Fry,1975-04-10,Motherwell
Linda,Jackson,1954-12-26,Forfar
Robert,Hobman,1977-12-16,Forres
Sergey,Berezny,1958-01-05,Peebles
Edward,Browning,1931-02-12,Falkirk
Thomas,Preston,1856-01-13,Helensburgh
Selina,Brewer,1853-01-27,Kirkcaldy
Albert,Spavold,1919-05-14,Crieff
John,Knight,1846-12-19,Campbeltown
Clara,Player,1864-10-11,Port Glasgow
Carol,Carpenter,1959-12-12,Langholm
Kate,Garratt,1872-03-07,Dufftown
Lily,Deeble,1862-08-27,Motherwell
Angela,Whittingham,1983-02-20,Blairgowrie
Patricia,Kitson,1929-11-12,Clydebank
George,Brazier,1854-06-26,Hamilton
Shaun,Kirby,1970-11-11,Milngavie
Leanne,Spencer,1982-11-29,Dingwall
Har,Sandhu,1976-01-29,Londonderry
Elizabeth,Tunnicliffe,1912-02-06,Omagh
John,Llewelyn,1859-02-05,Stirling
George,Jarman,1857-06-06,Fraserburgh
Ronald,Hunt,1922-11-20,Kirkwall
Adrian,Broughton,1963-11-24,Bridge of Allan
Jane,Parry,1882-08-15,Dingwall
Susanna,Pryke,1844-10-08,Dungannon
Sydney,Shapcott,1862-01-31,Ardrossan
Karl,Wilde,1962-11-06,Stirling
Gladys,Hurman,1898-07-25,Kirkwall
Dora,Mutlow,1901-11-16,Coatbridge
Joseph,Allan,1897-10-30,Alloa
Kathryn,Mackenzie,1967-01-11,Ardrossan
William,Inwood,1891-03-30,Ayr
Alice,Hough,1865-10-20,Ballymoney
Frederick,Danes,1914-08-12,Kirriemuir
Ellen,Cooper,1872-02-08,West Calder
Cyril,Bell,1876-05-14,Dumfries
Jacob,Glasby,1979-09-13,Kirriemuir
Armstrong,Louis,1962-11-15,Edinburgh
Kathleen,Abbott,1904-04-19,Tillicoultry
Olive,Grundy,1879-08-31,Kilsyth
Paul,Burt,1947-04-26,Inverness
Michael,Wilson,1983-01-30,Dromore
Male,Bassett,1856-03-09,Stornoway
Basil,Madden,1905-01-01,Rothesay
Arthur,Stone,1923-04-23,Newry
Alan,Barlow,1953-06-30,Dalry
Charles,Knight,1915-04-21,Leven
David,Jenkins,1962-12-27,Portadown
Dennis,Binns,1927-07-21,Motherwell
Louisa,Speight,1891-12-25,Forres
Lilian,Lee,1911-04-07,Lerwick
James,Green,1858-07-20,Kirkintilloch
Walter,Blackmore,1911-01-08,Banbridge
Sandra,Hetherington,1962-02-26,St Andrews
Fred,Payne,1867-03-25,Kilsyth
Adil,Galil,1964-02-11,Ardrossan
Eleanor,Wright,1884-06-21,Dumbarton
Nigel,Smallwood,1960-05-09,Grantown-on-Spey
Agnes,Wiltshire,1891-03-10,Bridge of Allan
Rachel,Ainley,1960-06-26,Dalbeattie
Michelle,Joynson,1970-09-23,Stonehaven
James,Teague,1846-01-01,Paisley
Grace,Bullock,1945-03-13,Strabane
Benjamin,Brierley,1861-08-15,Helensburgh
Leah,Hoyland,1896-05-02,Belfast
Doris,Cope,1933-09-18,Kirkintilloch
Elizabeth,Aston,1866-02-08,Aberdeen
Violet,Stevenson,1918-01-07,Langholm
Alice,Finnigan,1899-02-03,Falkirk
Eric,Kenchington,1924-07-10,Ballymoney
Gloria,Orpin,1938-11-30,Wick
Shelley,Nightingale,1964-03-18,Lanark
Robert,Smith,1853-05-20,Ayr
Rosina,Short,1898-09-10,Hamilton
Anthony,Holt,1961-09-26,Dumbarton
George,Michaelas,1948-09-04,Belfast
Myer,Weinberger,1905-06-14,Bridge of Allan
Patricia,Spinks,1943-10-10,Huntly
Laura,Hegan,1964-05-13,Peebles
Karen,Cusack,1959-06-27,Selkirk
Catherine,Jenkins,1887-07-10,Jedburgh
Margaret,Jones,1872-12-06,Jedburgh
Joseph,Holmes,1902-10-13,Ardrossan
Jane,Skegg,1842-12-05,Motherwell
Richard,Johnston,1897-12-08,Port Glasgow
Henry,James,1860-11-12,Kirkintilloch
Mary,Steel,1919-01-15,Enniskillen
Rachel,Willis,1910-05-13,Kilmarnock
Mary,Doherty,1867-05-30,Bridge of Allan
Beatrice,Wilson,1884-12-19,Stornoway
